external_id,lat,lon,name,type
1001,30.304739,78.0207,Shri Mahant Indiresh Hospital, Hospital
1002,30.2957,78.0031, Sunanda Hospital, Hospital
1003,30.379095,78.074684, Max Super Speciality Hospital, Hospital
1004,30.2722,78.008, Velmed Hospital, Hospital
1005,30.35,78.0294,Cantonment General Hospital, Hospital
1006,30.30495,77.98519, Matritva vardan Hospital, Hospital
1007,30.295459,78.003281, Minocha Hospital, Hospital
1008,30.279,78.0294, Bharat Heart  and super speciality hospital, Hospital
,,,,
2001,30.265076,78.00127,Clement Town Police Station, Police Station
2002,30.292829,78.017626,Patel Nagar Police Station, Police Station
,,,,
3001,30.2651,78, Clement Town Fire Station, Fire Station
,,,,
4001,30.317,78.028, ISBT, terminal
4002,30.321,78.03,Graphic Era University, university
4003,30.3215,78.033,Clement Town, area
